Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.008000,0.000000,0
Solver,3.133500,188.549970,5.90821e+08
Richards Exclude 1st Time Step,2.767200,207.371073,5.73837e+08
Solver Cleanup,0.003000,0.000000,0
Matvec,0.084400,2229.383886,1.8816e+08
PFSB I/O,0.000000,0.000000,0
PFB I/O,0.002500,0.000000,0
CLM,0.000200,0.000000,0
PFSOL Read,0.000100,0.000000,0
Clustering,0.195200,0.000000,0
P4EST_Setup,0.000000,0.000000,0
PF_P4EST_Setup,0.000000,0.000000,0
PF_P4EST_Solve,0.000000,0.000000,0
PF_P4EST_Cleanup,0.000000,0.000000,0
Permeability Face,0.000000,0.000000,0
Godunov Advection,0.000000,0.000000,0
Geometries,0.226500,0.000000,0
SubsrfSim,0.000500,0.000000,0
Porosity,0.000000,0.000000,0
PhaseRelPerm,1.459700,0.000545,796
MGSemi,0.262000,1620.703721,4.24624e+08
NL_F_Eval,0.494900,0.000380,188
KINSol,2.879300,205.196170,5.90821e+08
Total Runtime,3.160100,-nan,0
