1 1 14 112.415 25.734 3 3 3 4 10 22 0 3 28 28 30 30 30 32 36 21 25 25 24 25 27 28 32 52 127 110 127 77 67 51 42 21 118 120 121 132 139 144 122 131
2 1 17 112.425 25.733 3 3 3 4 10 22 0 3 28 28 30 30 30 32 36 21 25 25 24 25 27 28 32 52 127 110 127 77 67 51 42 21 118 120 121 132 139 144 122 131
3 1 17 112.434 25.733 3 3 3 4 10 22 0 3 28 28 30 30 30 32 36 21 25 25 24 25 27 28 32 52 127 110 127 77 67 51 42 21 118 120 121 132 139 144 122 131
4 1 17 112.443 25.732 3 3 3 4 10 22 0 3 28 28 30 30 30 32 36 21 25 25 24 25 27 28 32 52 127 110 127 77 67 51 42 21 118 120 121 132 139 144 122 131
5 1 9 112.453 25.731 7 7 6 7 7 9 0 3 29 32 28 30 32 33 30 21 21 22 23 22 23 23 28 52 146 149 127 110 60 38 33 21 117 120 127 142 147 147 122 131
6 1 9 112.462 25.730 7 7 6 7 7 9 0 3 29 32 28 30 32 33 30 21 21 22 23 22 23 23 28 52 146 149 127 110 60 38 33 21 117 120 127 142 147 147 122 131
1 2 17 112.416 25.743 7 7 6 7 7 9 0 3 33 33 35 32 31 29 29 21 22 20 21 21 24 27 28 52 167 140 114 95 57 40 32 21 117 122 128 137 150 144 122 131
2 2 17 112.426 25.742 3 3 3 4 10 22 0 3 28 28 30 30 30 32 36 21 25 25 24 25 27 28 32 52 127 110 127 77 67 51 42 21 118 120 121 132 139 144 122 131
3 2 14 112.435 25.741 3 3 3 4 10 22 0 3 28 28 30 30 30 32 36 21 25 25 24 25 27 28 32 52 127 110 127 77 67 51 42 21 118 120 121 132 139 144 122 131
4 2 14 112.444 25.740 7 7 6 7 7 9 0 3 29 32 28 30 32 33 30 21 21 22 23 22 23 23 28 52 146 149 127 110 60 38 33 21 117 120 127 142 147 147 122 131
5 2 9 112.454 25.740 3 3 3 4 10 22 0 3 28 28 30 30 30 32 36 21 25 25 24 25 27 28 32 52 127 110 127 77 67 51 42 21 118 120 121 132 139 144 122 131
6 2 9 112.463 25.739 3 3 3 4 10 22 0 3 28 28 30 30 30 32 36 21 25 25 24 25 27 28 32 52 127 110 127 77 67 51 42 21 118 120 121 132 139 144 122 131
1 3 14 112.417 25.751 7 7 6 7 7 9 0 3 33 33 35 32 31 29 29 21 22 20 21 21 24 27 28 52 167 140 114 95 57 40 32 21 117 122 128 137 150 144 122 131
2 3 14 112.427 25.750 3 3 3 4 10 22 0 3 28 28 30 30 30 32 36 21 25 25 24 25 27 28 32 52 127 110 127 77 67 51 42 21 118 120 121 132 139 144 122 131
3 3 14 112.436 25.750 3 3 3 4 10 22 0 3 28 28 30 30 30 32 36 21 25 25 24 25 27 28 32 52 127 110 127 77 67 51 42 21 118 120 121 132 139 144 122 131
4 3 14 112.445 25.749 3 3 3 4 10 22 0 3 28 28 30 30 30 32 36 21 25 25 24 25 27 28 32 52 127 110 127 77 67 51 42 21 118 120 121 132 139 144 122 131
5 3 14 112.455 25.748 3 3 3 4 10 22 0 3 28 28 30 30 30 32 36 21 25 25 24 25 27 28 32 52 127 110 127 77 67 51 42 21 118 120 121 132 139 144 122 131
6 3 14 112.464 25.747 3 3 3 4 10 22 0 3 28 28 30 30 30 32 36 21 25 25 24 25 27 28 32 52 127 110 127 77 67 51 42 21 118 120 121 132 139 144 122 131
1 4 14 112.418 25.760 7 7 6 7 7 9 0 3 33 33 35 32 31 29 29 21 22 20 21 21 24 27 28 52 167 140 114 95 57 40 32 21 117 122 128 137 150 144 122 131
2 4 14 112.427 25.759 3 3 3 4 10 22 0 3 28 28 30 30 30 32 36 21 25 25 24 25 27 28 32 52 127 110 127 77 67 51 42 21 118 120 121 132 139 144 122 131
3 4 14 112.437 25.758 3 3 3 4 10 22 0 3 28 28 30 30 30 32 36 21 25 25 24 25 27 28 32 52 127 110 127 77 67 51 42 21 118 120 121 132 139 144 122 131
4 4 9 112.446 25.757 3 3 3 4 10 22 0 3 28 28 30 30 30 32 36 21 25 25 24 25 27 28 32 52 127 110 127 77 67 51 42 21 118 120 121 132 139 144 122 131
5 4 9 112.455 25.756 3 3 3 4 10 22 0 3 28 28 30 30 30 32 36 21 25 25 24 25 27 28 32 52 127 110 127 77 67 51 42 21 118 120 121 132 139 144 122 131
6 4 14 112.465 25.756 3 3 3 4 10 22 0 3 28 28 30 30 30 32 36 21 25 25 24 25 27 28 32 52 127 110 127 77 67 51 42 21 118 120 121 132 139 144 122 131
1 5 14 112.419 25.768 3 3 3 4 10 22 0 3 28 28 30 30 30 32 36 21 25 25 24 25 27 28 32 52 127 110 127 77 67 51 42 21 118 120 121 132 139 144 122 131
2 5 14 112.428 25.767 3 3 3 4 10 22 0 3 28 28 30 30 30 32 36 21 25 25 24 25 27 28 32 52 127 110 127 77 67 51 42 21 118 120 121 132 139 144 122 131
3 5 14 112.438 25.766 7 7 6 7 7 9 0 3 33 33 35 32 31 29 29 21 22 20 21 21 24 27 28 52 167 140 114 95 57 40 32 21 117 122 128 137 150 144 122 131
4 5 14 112.447 25.766 3 3 3 4 10 22 0 3 28 28 30 30 30 32 36 21 25 25 24 25 27 28 32 52 127 110 127 77 67 51 42 21 118 120 121 132 139 144 122 131
5 5 9 112.456 25.765 3 3 3 4 10 22 0 3 28 28 30 30 30 32 36 21 25 25 24 25 27 28 32 52 127 110 127 77 67 51 42 21 118 120 121 132 139 144 122 131
6 5 14 112.466 25.764 3 3 3 4 10 22 0 3 28 28 30 30 30 32 36 21 25 25 24 25 27 28 32 52 127 110 127 77 67 51 42 21 118 120 121 132 139 144 122 131
